id,order
3363,1
5682,2
3917,3
470,4
777,5
1587,6
4954,7
479,8
2329,9
4732,10
3271,11
4146,12
6879,13
4787,14
5409,15
6115,16
5854,17
1780,18
6024,19
2003,20
433,21
2845,22
7806,23
32,24
4726,25
1092,26
3148,27
4071,28
2964,29
1086,30
5522,31
5007,32
4409,33
1886,34
4758,35
1615,36
4791,37
4783,38
1394,39
567,40
5850,41
2432,42
7538,43
7778,44
5606,45
7455,46
6410,47
392,48
6578,49
4206,50
6193,51
1828,52
5089,53
298,54
7839,55
6275,56
5592,57
1627,58
6426,59
3249,60
1307,61
5188,62
7767,63
6575,64
839,65
1159,66
1301,67
4168,68
7232,69
5719,70
2688,71
6496,72
5074,73
2058,74
3444,75
2568,76
6730,77
2425,78
2700,79
3171,80
2371,81
3438,82
3587,83
289,84
2390,85
6334,86
3112,87
241,88
4360,89
3773,90
6906,91
6369,92
2200,93
2310,94
1264,95
6347,96
7685,97
388,98
2564,99
619,100
2852,101
7677,102
6244,103
4164,104
1541,105
5976,106
4486,107
3547,108
1806,109
2499,110
3801,111
5555,112
6586,113
5671,114
3301,115
5913,116
2079,117
1777,118
7155,119
1446,120
7380,121
3757,122
359,123
7751,124
1288,125
2049,126
902,127
6752,128
5222,129
3454,130
6136,131
223,132
7494,133
5731,134
5698,135
7294,136
2257,137
2492,138
4866,139
6489,140
5,141
4439,142
6884,143
4437,144
6743,145
4609,146
5805,147
6734,148
5399,149
6048,150
4322,151
1644,152
6907,153
3191,154
3964,155
3739,156
2553,157
6151,158
5130,159
5371,160
2943,161
7608,162
3183,163
2530,164
5978,165
6238,166
5133,167
7532,168
3226,169
662,170
4862,171
3729,172
4097,173
629,174
1049,175
5422,176
4242,177
1021,178
398,179
3026,180
1475,181
2666,182
5011,183
4114,184
4418,185
6163,186
1808,187
2606,188
5933,189
6707,190
1769,191
4441,192
1238,193
3532,194
2154,195
7031,196
6012,197
7521,198
7072,199
1103,200
2558,201
1474,202
101,203
122,204
3658,205
3377,206
5788,207
1337,208
3857,209
2994,210
6109,211
2570,212
4243,213
4345,214
7760,215
7828,216
6708,217
454,218
1399,219
6045,220
1106,221
1890,222
7965,223
3824,224
1340,225
1914,226
5816,227
1318,228
2912,229
5082,230
5174,231
217,232
4414,233
6098,234
460,235
4396,236
6185,237
5286,238
4773,239
3918,240
2179,241
1207,242
6818,243
5700,244
6365,245
7272,246
7407,247
3928,248
954,249
6830,250
668,251
7437,252
1225,253
2725,254
876,255
6974,256
3984,257
625,258
1035,259
908,260
6114,261
6758,262
6258,263
2197,264
3607,265
6553,266
5574,267
4815,268
3947,269
2403,270
4590,271
725,272
892,273
5278,274
4520,275
7591,276
1495,277
1354,278
4020,279
690,280
5704,281
3335,282
1434,283
139,284
4234,285
3481,286
5385,287
710,288
4155,289
5556,290
232,291
6938,292
1011,293
1940,294
3413,295
7688,296
5299,297
1807,298
3076,299
6339,300
4898,301
6545,302
7319,303
7127,304
1167,305
5779,306
6513,307
7430,308
3248,309
5395,310
6817,311
6196,312
4214,313
1731,314
1965,315
446,316
2356,317
1516,318
3885,319
5154,320
2451,321
1449,322
6833,323
7429,324
6941,325
2132,326
872,327
5510,328
3574,329
5457,330
6937,331
172,332
2589,333
1145,334
1799,335
267,336
369,337
5882,338
6626,339
3983,340
4228,341
6367,342
6176,343
4137,344
536,345
2542,346
116,347
1445,348
6259,349
7811,350
1864,351
1509,352
6020,353
157,354
6649,355
1362,356
3241,357
3008,358
1279,359
5185,360
10,361
2007,362
658,363
6046,364
1948,365
7070,366
824,367
553,368
2755,369
1527,370
481,371
7145,372
4263,373
3063,374
3808,375
5812,376
2893,377
758,378
2901,379
7006,380
4367,381
6341,382
2051,383
7870,384
6222,385
5607,386
4714,387
3511,388
336,389
4483,390
829,391
3872,392
5567,393
7454,394
2910,395
5535,396
7274,397
3196,398
3238,399
6549,400
1685,401
7181,402
24,403
1786,404
2223,405
4009,406
6698,407
5560,408
7382,409
7700,410
964,411
7017,412
1042,413
605,414
3961,415
3646,416
2880,417
6816,418
1182,419
2959,420
3012,421
6811,422
3146,423
2822,424
1942,425
5990,426
2379,427
2196,428
4591,429
1020,430
7713,431
2809,432
3649,433
4160,434
636,435
1687,436
1336,437
1933,438
700,439
1484,440
4391,441
2420,442
1719,443
4947,444
3540,445
7128,446
5890,447
1004,448
3887,449
1489,450
6318,451
3933,452
3351,453
6963,454
1128,455
1727,456
6568,457
4011,458
4347,459
3261,460
2653,461
2552,462
769,463
3359,464
345,465
5768,466
7278,467
1419,468
1090,469
2075,470
7476,471
5441,472
6959,473
901,474
3791,475
7199,476
4132,477
7555,478
8,479
7857,480
4780,481
3840,482
513,483
3384,484
3242,485
3128,486
563,487
7289,488
2216,489
928,490
7440,491
5511,492
5941,493
4530,494
40,495
4933,496
4515,497
7463,498
155,499
4619,500
6067,501
5905,502
1535,503
2904,504
1564,505
5262,506
7490,507
869,508
5597,509
1164,510
6105,511
2344,512
3477,513
4377,514
7840,515
2878,516
452,517
5231,518
6346,519
1601,520
1254,521
2557,522
3366,523
7596,524
5637,525
4569,526
4560,527
4313,528
7535,529
594,530
2413,531
2967,532
5906,533
4693,534
706,535
354,536
7428,537
6697,538
7247,539
6197,540
7069,541
4024,542
4666,543
6064,544
6570,545
3875,546
110,547
1257,548
4908,549
6138,550
5022,551
586,552
2752,553
5157,554
6609,555
6857,556
6262,557
2786,558
94,559
20,560
6724,561
7075,562
1970,563
6566,564
2990,565
5152,566
5099,567
4299,568
787,569
7329,570
3358,571
1503,572
6468,573
5139,574
4043,575
6457,576
5826,577
295,578
2937,579
483,580
6895,581
402,582
6183,583
2308,584
7447,585
1039,586
3753,587
6230,588
4416,589
3772,590
7879,591
5242,592
944,593
6713,594
5625,595
7935,596
3709,597
4711,598
7487,599
163,600
2667,601
2896,602
3039,603
615,604
4503,605
2271,606
5397,607
5483,608
3768,609
5486,610
3706,611
2144,612
4551,613
5492,614
2654,615
7542,616
199,617
5820,618
263,619
1009,620
95,621
2607,622
7741,623
7728,624
1921,625
3988,626
503,627
4545,628
3078,629
1120,630
3221,631
7579,632
208,633
4025,634
4222,635
4258,636
1276,637
5846,638
6119,639
1863,640
5061,641
2848,642
3214,643
1346,644
121,645
7228,646
4302,647
6759,648
5121,649
4035,650
3040,651
2802,652
7032,653
3371,654
6601,655
1613,656
7651,657
4288,658
811,659
5393,660
2859,661
6108,662
2598,663
6147,664
4317,665
3781,666
6688,667
7974,668
6333,669
7460,670
1648,671
7868,672
7088,673
5322,674
453,675
3000,676
1943,677
6092,678
3473,679
2110,680
4910,681
6330,682
5844,683
2856,684
3814,685
5471,686
1303,687
7639,688
1893,689
5726,690
1331,691
4353,692
7054,693
4286,694
7361,695
6155,696
2621,697
2412,698
3559,699
2265,700
1556,701
5481,702
4190,703
5259,704
3028,705
3479,706
945,707
1580,708
5942,709
5497,710
1332,711
3410,712
538,713
3919,714
6569,715
6981,716
5290,717
5898,718
2938,719
6725,720
7871,721
981,722
4655,723
2230,724
5940,725
5202,726
7353,727
1468,728
6973,729
827,730
2970,731
499,732
7983,733
7248,734
2980,735
2681,736
6008,737
7881,738
6400,739
7815,740
6996,741
3854,742
4158,743
546,744
5778,745
7863,746
2661,747
4697,748
2767,749
1056,750
1188,751
1576,752
5951,753
387,754
2828,755
7600,756
7205,757
3347,758
2410,759
335,760
4802,761
2829,762
1032,763
1401,764
3389,765
2206,766
2939,767
5360,768
6505,769
4882,770
6023,771
125,772
7845,773
7389,774
4509,775
7062,776
1660,777
33,778
2224,779
1983,780
337,781
428,782
3571,783
4166,784
5178,785
1659,786
4188,787
2281,788
6674,789
2262,790
792,791
4537,792
870,793
1379,794
4197,795
3340,796
5633,797
6684,798
6706,799
2258,800
3935,801
5509,802
2886,803
2340,804
1729,805
6664,806
3360,807
6733,808
1549,809
2391,810
2716,811
6558,812
5702,813
3237,814
585,815
1978,816
7702,817
1695,818
5444,819
1175,820
4610,821
6110,822
6350,823
7528,824
2765,825
2267,826
5143,827
4648,828
375,829
3800,830
2241,831
2909,832
131,833
5214,834
1785,835
5291,836
1218,837
6710,838
4994,839
598,840
1714,841
3306,842
5162,843
6184,844
1611,845
1396,846
559,847
6916,848
4886,849
281,850
825,851
390,852
3855,853
842,854
5505,855
6767,856
2288,857
4382,858
6551,859
1689,860
3970,861
7635,862
6181,863
2940,864
1691,865
71,866
2326,867
2468,868
1860,869
1952,870
3283,871
2732,872
963,873
2563,874
7682,875
1826,876
3083,877
2891,878
4306,879
4667,880
5337,881
2389,882
7410,883
3835,884
7255,885
5470,886
2181,887
